,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges,Player-additional
3947,Matt Ryan,2022,2023,F,6-7,215.0,April 17 1997,Notre Dame Vanderbilt Chattanooga,ryanma01
3948,Arvydas Sabonis,1996,2003,C,7-3,279.0,December 19 1964,,sabonar01
3949,Domantas Sabonis,2017,2023,F-C,6-11,240.0,May 3 1996,Gonzaga,sabondo01
3950,Robert Sacre,2013,2016,C,7-0,270.0,June 6 1989,Gonzaga,sacrero01
3951,Ed Sadowski,1947,1950,C,6-5,240.0,July 11 1917,Seton Hall,sadowed01
3952,Kenny Sailors,1947,1951,G,5-10,175.0,January 14 1921,Wyoming,sailoke01
3953,John Salley,1987,2000,F-C,6-11,230.0,May 16 1964,Georgia Tech,sallejo01
3954,John Salmons,2003,2015,G,6-7,210.0,December 12 1979,Miami (FL),salmojo01
3955,Al Salvadori,1968,1968,F,6-9,220.0,May 6 1945,South Carolina,salvaal01
3956,Kevin Salvadori,1997,1998,C,7-0,231.0,December 30 1970,UNC,salvake01
3957,Soumaila Samake,2001,2003,C,7-0,230.0,March 18 1978,,samakso01
3958,Luka Samanic,2020,2021,F,6-10,227.0,January 9 2000,,samanlu01
3959,Cheikh Samb,2008,2009,C,7-1,245.0,October 22 1984,,sambch01
3960,Brandon Sampson,2019,2019,G,6-5,184.0,May 1 1997,LSU,sampsbr01
3961,JaKarr Sampson,2015,2021,G-F,6-7,214.0,March 20 1993,St. John's,sampsja02
3962,Jamal Sampson,2003,2007,F-C,6-11,235.0,May 15 1983,California,sampsja01
3963,Ralph Sampson,1984,1992,C-F,7-4,228.0,July 7 1960,Virginia,sampsra01
3964,Samardo Samuels,2011,2013,F,6-9,260.0,January 9 1989,Louisville,samuesa01
3965,Pepe Sanchez,2001,2003,G,6-4,195.0,May 8 1977,Temple,sanchpe01
3966,Al Sanders,1973,1973,F,6-7,240.0,January 1 1950,LSU,sandeal01
3967,Frankie Sanders,1979,1981,F-G,6-6,200.0,January 23 1957,Southern University and A&M College,sandefr01
3968,Jeff Sanders,1990,1993,F,6-8,225.0,January 14 1966,Georgia Southern University,sandeje01
3969,Larry Sanders,2011,2017,C-F,6-11,235.0,November 21 1988,VCU,sandela01
3970,Melvin Sanders,2006,2006,G-F,6-5,210.0,January 3 1981,Seward County Community College Oklahoma State,sandeme01
3971,Mike Sanders,1983,1993,F-G,6-6,210.0,May 7 1960,UCLA,sandemi01
3972,Tom Sanders,1961,1973,F,6-6,210.0,November 8 1938,NYU,sandeto01
3973,Ron Sanford,1972,1972,F,6-9,215.0,June 11 1946,New Mexico,sanforo01
3974,Daniel Santiago,2001,2005,C,7-1,256.0,June 24 1976,New Mexico Saint Vincent College,santida01
3975,Bob Santini,1956,1956,F,6-5,190.0,February 17 1935,Iona College,santibo01
3976,Wayne Sappleton,1985,1985,F,6-9,215.0,November 17 1960,Loyola Chicago,sapplwa01
3977,Dario Saric,2017,2023,F-C,6-10,225.0,April 8 1994,,saricda01
3978,Olivier Sarr,2022,2022,C,7-0,237.0,February 20 1999,Wake Forest Kentucky,sarrol01
3979,Jason Sasser,1997,1999,F,6-7,225.0,January 13 1974,Texas Tech,sasseja01
3980,Jeryl Sasser,2002,2003,G,6-6,200.0,February 13 1979,SMU,sasseje01
3981,Tomas Satoransky,2017,2022,G,6-7,210.0,October 30 1991,,satorto01
3982,Kenny Satterfield,2002,2003,G,6-2,186.0,April 10 1981,Cincinnati,satteke01
3983,Pep Saul,1950,1955,G-F,6-2,185.0,February 16 1924,Seton Hall,saulpe01
3984,Woody Sauldsberry,1958,1966,F-C,6-7,220.0,July 11 1934,Texas Southern,sauldwo01
3985,Glynn Saulters,1969,1969,G,6-2,175.0,February 10 1945,Louisiana-Monroe,saultgl01
3986,Fred Saunders,1975,1978,F,6-7,210.0,June 13 1951,Syracuse,saundfr01
3987,Don Savage,1952,1957,F-G,6-3,205.0,April 9 1928,LeMoyne College,savagdo01
3988,Predrag Savovic,2003,2003,G,6-6,225.0,May 21 1976,UAB Hawaii,savovpr01
3989,Alan Sawyer,1951,1951,F,6-5,195.0,January 1 1928,UCLA,sawyeal01
3990,Brian Scalabrine,2002,2012,F,6-9,241.0,March 18 1978,USC,scalabr01
3991,Alex Scales,2006,2006,G,6-4,185.0,July 3 1978,Oregon,scaleal01
3992,DeWayne Scales,1981,1984,F,6-8,208.0,December 28 1958,LSU,scalede01
3993,Frank Schade,1973,1973,G,6-1,170.0,January 22 1950,University of Wisconsin-Eau Claire,schadfr01
3994,Ben Schadler,1948,1948,F,6-0,185.0,March 9 1924,Northwestern,schadbe01
3995,Herm Schaefer,1949,1950,G-F,6-0,175.0,December 20 1918,Indiana,schaehe01
3996,Billy Schaeffer,1974,1976,F,6-5,200.0,December 11 1951,St. John's,schaebi01
3997,Bob Schafer,1956,1957,G,6-3,195.0,March 29 1933,Villanova,schafbo01
3998,Jordan Schakel,2022,2023,F,6-6,200.0,June 13 1998,San Diego State,schakjo01
3999,Ben Scharnus,1947,1949,F,6-2,173.0,December 11 1917,Seton Hall,scharbe01
4000,Marv Schatzman,1950,1950,F,6-5,200.0,February 18 1927,Saint Louis,schatma01
4001,Fred Schaus,1950,1954,F,6-5,205.0,June 30 1925,West Virginia,schaufr01
4002,Danny Schayes,1982,1999,C-F,6-11,235.0,May 10 1959,Syracuse,schayda01
4003,Dolph Schayes,1950,1964,F-C,6-8,220.0,May 19 1928,NYU,schaydo01
4004,Ossie Schectman,1947,1947,G,6-0,175.0,March 30 1919,Long Island University,schecos01
4005,Steve Scheffler,1991,1997,C-F,6-9,250.0,September 3 1967,Purdue,schefst01
4006,Tom Scheffler,1985,1985,C,6-11,240.0,October 27 1954,Purdue,schefto01
4007,Dave Schellhase,1967,1968,G,6-3,205.0,October 14 1944,Purdue,schelda01
4008,Luke Schenscher,2006,2007,C,7-1,255.0,December 31 1982,Georgia Tech,schenlu01
4009,Herb Scherer,1951,1952,C,6-9,212.0,December 21 1928,Long Island University,scherhe01
4010,Dwayne Schintzius,1991,1999,C,7-1,260.0,October 14 1968,Florida,schindw01
4011,Dale Schlueter,1969,1978,C,6-10,225.0,November 12 1945,Colorado State,schluda01
4012,Otto Schnellbacher,1949,1949,F-G,6-4,185.0,April 15 1923,Kansas,schneot01
4013,Dick Schnittker,1951,1958,F,6-5,200.0,May 27 1928,Ohio State,schnidi01
4014,Russ Schoene,1983,1989,F-C,6-10,210.0,April 16 1960,Chattanooga,schoeru01
4015,Admiral Schofield,2020,2023,G-F,6-5,241.0,March 30 1997,Tennessee,schofad01
4016,Dave Scholz,1970,1970,F,6-8,220.0,April 12 1948,Illinois,scholda01
4017,Milt Schoon,1947,1950,C,6-7,230.0,February 25 1922,Valparaiso,schoomi01
4018,Detlef Schrempf,1986,2001,F-C,6-10,235.0,January 21 1963,Washington,schrede01
4019,Dennis Schroder,2014,2023,G,6-3,172.0,September 15 1993,,schrode01
4020,Howie Schultz,1950,1953,C-F,6-6,200.0,July 3 1922,Hamline University,schulho01
4021,Dick Schulz,1947,1950,F-G,6-2,192.0,January 3 1917,Wisconsin,schuldi01
4022,Roger Schurig,1968,1968,G,6-3,185.0,April 3 1942,Vanderbilt,schurro01
4023,John Schweitz,1985,1987,G,6-6,210.0,April 19 1960,Richmond,schwejo01
4024,Luis Scola,2008,2017,F,6-9,240.0,April 30 1980,,scolalu01
4025,Fred Scolari,1947,1955,G,5-10,180.0,March 1 1922,San Francisco,scolafr01
4026,Alvin Scott,1978,1985,F-G,6-7,185.0,September 14 1955,Oral Roberts,scottal01
4027,Brent Scott,1997,1997,F-C,6-10,250.0,June 15 1971,Rice University,scottbr01
4028,Byron Scott,1984,1997,G,6-3,195.0,March 28 1961,Arizona State,scottby01
4029,Charlie Scott,1971,1980,G-F,6-5,175.0,December 15 1948,UNC,scottch01
4030,Dennis Scott,1991,2000,F,6-8,229.0,September 5 1968,Georgia Tech,scottde01
4031,James Scott,1997,1997,F,6-6,180.0,June 6 1972,St. John's,scottja01
4032,Mike Scott,2013,2021,F,6-7,237.0,July 16 1988,Virginia,scottmi01
4033,Ray Scott,1962,1972,F-C,6-9,215.0,July 12 1938,New York City College of Technology University of Portland,scottra01
4034,Shawnelle Scott,1997,2002,C,6-10,250.0,June 16 1972,St. John's,scottsh01
4035,Tre Scott,2022,2022,F,6-8,225.0,November 25 1996,Cincinnati,scotttr01
4036,Willie Scott,1970,1970,F,6-5,210.0,May 22 1947,Alabama State University,scottwi01
4037,Paul Scranton,1968,1968,F,6-5,230.0,April 30 1944,Cal Poly Pomona,scranpa01
4038,Jay Scrubb,2021,2022,G-F,6-5,220.0,September 1 2000,John A. Logan College,scrubja01
4039,Carey Scurry,1986,1988,F,6-7,188.0,December 4 1962,Long Island University,scurrca01
4040,Dereon Seabron,2023,2023,G,6-7,180.0,May 26 2000,,seabrde01
4041,Bruce Seals,1974,1978,F,6-8,210.0,June 18 1953,Xavier University of Louisiana,sealsbr01
4042,Shea Seals,1998,1998,G,6-5,210.0,August 26 1975,Tulsa,sealssh01
4043,Malik Sealy,1993,2000,G,6-8,190.0,February 1 1970,St. John's,sealyma01
4044,Ed Searcy,1976,1976,F,6-6,210.0,April 17 1952,St. John's,searced01
4045,Kenny Sears,1956,1964,F,6-9,198.0,August 17 1933,Santa Clara,searske01
4046,Wayne See,1950,1950,G,6-3,190.0,November 3 1923,Northern Arizona University,seewa01
4047,Thabo Sefolosha,2007,2020,G-F,6-6,215.0,May 2 1984,,sefolth01
4048,Rony Seikaly,1989,1999,C,6-11,230.0,May 10 1965,Syracuse,seikaro01
4049,Glen Selbo,1950,1950,G-F,6-3,196.0,March 29 1926,Wisconsin,selbogl01
4050,Josh Selby,2012,2013,G,6-2,183.0,March 27 1991,Kansas,selbyjo01
4051,Wayne Selden,2017,2022,G-F,6-5,230.0,September 30 1994,Kansas,seldewa01
4052,Brad Sellers,1987,1993,C-F,7-0,210.0,December 17 1962,Wisconsin Ohio State,sellebr01
4053,Phil Sellers,1977,1977,F-G,6-4,195.0,November 20 1953,Rutgers University,selleph01
4054,Rollie Seltz,1950,1950,G-F,5-10,165.0,January 25 1924,Hamline University,seltzro01
4055,Les Selvage,1968,1970,G,6-1,175.0,March 7 1943,Truman State University,selvale01
4056,Frank Selvy,1955,1964,G-F,6-3,180.0,November 9 1932,Furman University,selvyfr01
4057,Jim Seminoff,1947,1950,G-F,6-2,190.0,September 1 1922,USC,seminji01
4058,Mouhamed Sene,2007,2009,C-F,6-11,230.0,May 12 1986,,senesa01
4059,George Senesky,1947,1954,G,6-2,179.0,April 4 1922,Saint Joseph's,senesge01
4060,Alperen Sengun,2022,2023,F,6-9,235.0,July 25 2002,,sengual01
4061,Kevin Seraphin,2011,2017,F,6-9,285.0,December 7 1989,,serapke01
4062,Ansu Sesay,2002,2005,F,6-9,225.0,July 29 1976,Ole Miss,sesayan01
4063,Ramon Sessions,2008,2018,G,6-3,190.0,April 11 1986,Nevada,sessira01
4064,Ha Seung-Jin,2005,2006,C,7-3,305.0,August 4 1985,,seungha01
4065,Tom Sewell,1985,1985,G,6-5,185.0,March 11 1962,Lamar,sewelto01
4066,Collin Sexton,2019,2023,G,6-1,190.0,January 4 1999,Alabama,sextoco01
4067,Paul Seymour,1948,1960,G-F,6-1,180.0,January 30 1928,Toledo,seymopa01
4068,Nick Shaback,1947,1947,G,5-11,180.0,September 10 1918,,shabani01
4069,Lynn Shackelford,1970,1970,F,6-5,190.0,August 27 1947,UCLA,shackly01
4070,Charles Shackleford,1989,1999,F-C,6-10,225.0,April 22 1966,NC State,shackch01
4071,Carl Shaeffer,1950,1951,F-G,6-3,185.0,October 25 1924,Alabama,shaefca01
4072,Lee Shaffer,1962,1964,F,6-7,220.0,February 23 1939,UNC,shaffle01
4073,Mustafa Shakur,2011,2014,G,6-3,190.0,August 18 1984,Arizona,shakumu01
4074,Landry Shamet,2019,2023,G,6-4,190.0,March 13 1997,Wichita State,shamela01
4075,God Shammgod,1998,1998,G,6-0,169.0,April 29 1976,Providence,shammgo01
4076,Earl Shannon,1947,1949,G-F,5-11,170.0,November 23 1921,Rhode Island,shannea01
4077,Howie Shannon,1949,1950,G-F,6-2,175.0,June 10 1923,University of North Texas Kansas State,shannho01
4078,Chuck Share,1952,1960,C,6-11,235.0,March 14 1927,Bowling Green,sharech01
4079,Bill Sharman,1951,1961,G,6-1,175.0,May 25 1926,USC,sharmbi01
4080,Day'Ron Sharpe,2022,2023,C,6-11,265.0,November 6 2001,UNC,sharpda01
4081,Shaedon Sharpe,2023,2023,G,6-6,200.0,May 30 2003,Kentucky,sharpsh01
4082,Walter Sharpe,2009,2009,F,6-9,245.0,July 18 1986,Mississippi State UAB,sharpwa01
4083,John Shasky,1989,1991,C,6-11,235.0,July 31 1964,Minnesota,shaskjo01
4084,Ron Shavlik,1957,1958,F,6-8,200.0,December 4 1933,NC State,shavlro01
4085,Brian Shaw,1989,2003,G,6-6,190.0,March 22 1966,Saint Mary's UC Santa Barbara,shawbr01
4086,Casey Shaw,1999,1999,C,6-11,260.0,July 20 1975,Toledo,shawca01
4087,Marial Shayok,2020,2020,G,6-5,198.0,July 26 1995,Virginia Iowa State,shayoma01
4088,Bob Shea,1947,1947,F,6-2,194.0,September 11 1924,Rhode Island,sheabo01
4089,Fred Sheffield,1947,1947,F,6-2,165.0,November 5 1923,Utah,shefffr01
4090,Craig Shelton,1981,1982,F,6-7,210.0,May 1 1957,Georgetown,sheltcr01
4091,Lonnie Shelton,1977,1986,F-C,6-8,240.0,October 19 1955,Oregon State,sheltlo01
4092,Tornike Shengelia,2013,2014,F,6-9,217.0,October 5 1991,,shengto01
4093,Billy Shepherd,1973,1975,G,5-10,160.0,November 18 1949,Butler,shephbi01
4094,Jeff Sheppard,1999,1999,G,6-3,190.0,September 29 1974,Kentucky,sheppje01
4095,Steve Sheppard,1978,1979,F,6-6,215.0,March 21 1954,Maryland,sheppst01
4096,Ed Sherod,1983,1983,G,6-2,170.0,September 13 1959,VCU,sheroed01
4097,Charley Shipp,1950,1950,G-F,6-1,200.0,December 3 1913,Catholic University of America,shippch01
4098,Paul Shirley,2003,2005,F-C,6-10,230.0,December 23 1977,Iowa State,shirlpa01
4099,Gene Short,1976,1976,F,6-6,200.0,August 7 1953,Jackson State University,shortge01
4100,Purvis Short,1979,1990,F-G,6-7,210.0,July 2 1957,Jackson State University,shortpu01
4101,Dexter Shouse,1990,1990,G,6-2,200.0,March 24 1963,University of South Alabama,shousde01
4102,Dick Shrider,1949,1949,G,6-2,190.0,February 7 1923,Ohio University,shriddi01
4103,Gene Shue,1955,1964,G,6-2,170.0,December 18 1931,Maryland,shuege01
4104,John Shumate,1976,1981,F-C,6-9,235.0,April 6 1952,Notre Dame,shumajo01
4105,Iman Shumpert,2012,2021,G,6-5,215.0,June 26 1990,Georgia Tech,shumpim01
4106,Alexey Shved,2013,2015,G,6-6,190.0,December 16 1988,,shvedal01
4107,Pascal Siakam,2017,2023,F,6-9,230.0,April 2 1994,New Mexico State,siakapa01
4108,Jordan Sibert,2019,2019,G,6-4,187.0,August 1 1992,Ohio State Dayton,siberjo01
4109,Sam Sibert,1973,1973,F,6-7,215.0,February 11 1949,Kentucky State University,sibersa01
4110,Mark Sibley,1974,1974,G,6-2,175.0,November 13 1950,Northwestern,siblema01
4111,Jerry Sichting,1981,1990,G,6-1,168.0,November 29 1956,Purdue,sichtje01
4112,Don Sidle,1969,1972,F-C,6-8,215.0,June 21 1946,Oklahoma,sidledo01
4113,Larry Siegfried,1964,1972,F,6-3,190.0,May 22 1939,Ohio State,siegfla01
4114,Ralph Siewert,1947,1947,C,7-1,230.0,December 31 1923,Dakota Wesleyan University,siewera01
4115,Jack Sikma,1978,1991,C-F,6-11,230.0,November 14 1955,Illinois Wesleyan University,sikmaja01
4116,James Silas,1973,1982,G,6-1,180.0,February 11 1949,Stephen F. Austin,silasja01
4117,Paul Silas,1965,1980,F-C,6-7,220.0,July 12 1943,Creighton,silaspa01
4118,Xavier Silas,2012,2018,G,6-5,205.0,January 22 1988,Colorado Northern Illinois,silasxa01
4119,Garret Siler,2011,2011,C,6-11,305.0,October 25 1986,Augusta State University,silerga01
4120,Mike Silliman,1971,1971,F,6-6,225.0,May 5 1944,United States Military Academy,sillimi01
4121,Chris Silva,2020,2022,F,6-8,234.0,September 19 1996,South Carolina,silvach01
4122,Wayne Simien,2006,2007,F,6-9,255.0,March 9 1983,Kansas,simiewa01
4123,Ben Simmons,2018,2023,G-F,6-10,240.0,July 20 1996,LSU,simmobe01
4124,Bobby Simmons,2002,2012,G-F,6-7,210.0,June 2 1980,DePaul,simmobo01
4125,Cedric Simmons,2007,2009,F,6-9,235.0,January 3 1986,NC State,simmoce01
4126,Connie Simmons,1947,1956,C-F,6-8,222.0,March 15 1925,,simmoco01
4127,Grant Simmons,1968,1969,G,6-3,190.0,March 7 1943,Nebraska,simmogr01
4128,Johnny Simmons,1947,1947,G,6-1,184.0,July 7 1924,NYU,simmojo01
4129,Jonathon Simmons,2016,2019,G-F,6-6,195.0,September 14 1989,Houston,simmojo02
4130,Kobi Simmons,2018,2019,G,6-5,166.0,July 4 1997,Arizona,simmoko01
4131,Lionel Simmons,1991,1997,F-G,6-7,210.0,November 14 1968,La Salle,simmoli01
4132,Miles Simon,1999,1999,G,6-3,202.0,November 21 1975,Arizona,simonmi01
4133,Walt Simon,1968,1974,F-G,6-6,200.0,December 1 1939,Benedict College,simonwa01
4134,Marko Simonovic,2022,2023,C,6-11,216.0,October 15 1999,,simonma01
4135,Anfernee Simons,2019,2023,G,6-3,181.0,June 8 1999,,simonan01
4136,Dickey Simpkins,1995,2002,F,6-9,248.0,April 6 1972,Providence,simpkdi01
4137,Ralph Simpson,1971,1980,G-F,6-5,200.0,August 10 1949,Michigan State,simpsra01
4138,Zavier Simpson,2022,2022,G,6-0,190.0,February 11 1997,Michigan,simpsza01
4139,Alvin Sims,1999,1999,G,6-4,235.0,October 18 1974,Louisville,simsal01
4140,Bob Sims,1962,1968,G-F,6-5,220.0,October 9 1938,Pepperdine,simsbo01
4141,Courtney Sims,2008,2009,C,6-10,245.0,October 21 1983,Michigan,simsco01
4142,Doug Sims,1969,1969,F,6-7,195.0,June 29 1943,Kent State University,simsdo01
4143,Henry Sims,2013,2016,C,6-10,248.0,March 27 1990,Georgetown,simshe01
4144,Jericho Sims,2022,2023,F,6-10,245.0,October 20 1998,Texas,simsje01
4145,Scott Sims,1978,1978,G,6-1,170.0,April 18 1955,Missouri,simssc01
4146,Kyle Singler,2013,2018,F,6-8,228.0,May 4 1988,Duke,singlky01
4147,Sean Singletary,2009,2009,G,6-0,185.0,September 6 1985,Virginia,singlse01
4148,Chris Singleton,2012,2014,F,6-8,230.0,November 21 1989,Florida State,singlch01
4149,James Singleton,2006,2012,F,6-8,216.0,July 20 1981,Murray State,singlja01
4150,McKinley Singleton,1987,1987,G,6-5,175.0,October 29 1961,UAB,singlmc01
4151,Zeke Sinicola,1952,1954,G,5-10,165.0,January 25 1929,Niagara University,sinicze01
4152,Deividas Sirvydis,2021,2022,G-F,6-8,190.0,June 10 2000,,sirvyde01
4153,Charlie Sitton,1985,1985,F,6-8,210.0,July 3 1962,Oregon State,sittoch01
4154,Peyton Siva,2014,2014,G,6-0,185.0,October 24 1990,Louisville,sivape01
4155,Scott Skiles,1987,1996,G,6-1,180.0,March 5 1964,Michigan State,skilesc01
4156,Al Skinner,1975,1980,G,6-3,190.0,June 16 1952,UMass,skinnal01
4157,Brian Skinner,1999,2012,F,6-9,255.0,May 19 1976,Baylor,skinnbr01
4158,Tal Skinner,1975,1976,F-G,6-5,195.0,September 10 1952,University of Maryland Eastern Shore,skinnta01
4159,Whitey Skoog,1952,1957,G,5-11,180.0,November 2 1926,Minnesota,skoogwh01
4160,Jeff Slade,1963,1963,F,6-6,220.0,March 1 1941,Kenyon College,sladeje01
4161,Reggie Slater,1995,2003,F,6-7,215.0,August 27 1970,Wyoming,slatere01
4162,Jim Slaughter,1952,1952,C,6-11,210.0,May 13 1928,South Carolina,slaugji01
4163,Jose Slaughter,1983,1983,G,6-5,205.0,September 9 1960,University of Portland,slaugjo01
4164,Tamar Slay,2003,2005,G,6-8,215.0,April 2 1980,Marshall,slayta01
4165,Donald Sloan,2012,2016,G,6-3,205.0,January 15 1988,Texas A&M,sloando01
4166,Jerry Sloan,1966,1976,G-F,6-5,195.0,March 28 1942,University of Evansville,sloanje01
4167,Uros Slokar,2007,2007,F,6-10,238.0,May 14 1983,,slokaur01
4168,Tom Sluby,1985,1985,G,6-4,200.0,February 18 1962,Notre Dame,slubyto01
4169,Alen Smailagic,2020,2021,F,6-10,215.0,August 18 2000,,smailal01
4170,Javonte Smart,2022,2022,G,6-4,205.0,June 3 1999,LSU,smartja01
4171,Keith Smart,1989,1989,G,6-1,175.0,September 21 1964,Indiana,smartke01
4172,Marcus Smart,2015,2023,G,6-3,220.0,March 6 1994,Oklahoma State,smartma01
4173,Belus Smawley,1947,1952,G-F,6-1,195.0,March 20 1918,Appalachian State University,smawlbe01
4174,Jack Smiley,1949,1950,F-G,6-3,190.0,December 22 1922,Illinois,smileja01
4175,Adrian Smith,1962,1972,G,6-1,180.0,October 5 1936,Northeast Mississippi Community College Kentucky,smithad01
4176,Al Smith,1972,1976,G,6-1,185.0,January 15 1947,Bradley,smithal01
4177,Bill Smith,1962,1962,G-F,6-5,190.0,April 26 1939,Saint Peter's College,smithbi01
4178,Bingo Smith,1970,1980,F-G,6-5,195.0,February 26 1946,Tulsa,smithbi02
4179,Bobby Smith,1960,1962,G,6-4,190.0,August 20 1937,West Virginia,smithbo01
4180,Charles Smith,1989,1997,F-C,6-10,230.0,July 16 1965,Pitt,smithch01
4181,Charles Smith,1990,1996,G,6-1,160.0,November 29 1967,Georgetown,smithch02
4182,Charles Smith,1998,2006,G,6-4,194.0,August 22 1975,New Mexico,smithch04
4183,Chris Smith,1993,1995,G,6-3,190.0,May 17 1970,UConn,smithch03
4184,Chris Smith,2014,2014,G,6-2,200.0,October 13 1987,Manhattan College Louisville,smithch05
4185,Clinton Smith,1987,1991,F,6-6,210.0,January 19 1964,Ohio State Cleveland State University,smithcl01
4186,Craig Smith,2007,2012,F,6-7,250.0,November 10 1983,Boston College,smithcr01
4187,Deb Smith,1947,1947,F,6-3,180.0,January 7 1920,Utah,smithde01
4188,Dennis Smith Jr.,2018,2023,G,6-2,205.0,November 25 1997,NC State,smithde03
4189,Derek Smith,1983,1991,G-F,6-6,205.0,November 1 1961,Louisville,smithde02
4190,Don Smith,1949,1949,G-F,6-2,190.0,July 27 1920,Minnesota,smithdo01
4191,Don Smith,1975,1975,G,6-0,160.0,October 10 1951,Dayton,smithdo02
4192,Donta Smith,2005,2006,G-F,6-7,215.0,November 27 1983,Southeastern Illinois College,smithdo04
4193,Doug Smith,1992,1996,F,6-10,220.0,September 17 1969,Missouri,smithdo03
4194,Dru Smith,2023,2023,G,6-3,203.0,December 30 1997,University of Evansville Missouri,smithdr01
4195,Ed Smith,1954,1954,F,6-6,180.0,July 5 1929,Harvard University,smithed01
4196,Elmore Smith,1972,1979,C,7-0,250.0,May 9 1949,Kentucky State University,smithel01
4197,Garfield Smith,1971,1973,C-F,6-9,235.0,November 18 1945,Eastern Kentucky University,smithga01
4198,Greg Smith,1969,1976,F,6-5,195.0,January 28 1947,Western Kentucky,smithgr01
4199,Greg Smith,2012,2016,C,6-10,250.0,January 8 1991,Fresno State,smithgr02
4200,Ish Smith,2011,2023,G,6-0,175.0,July 5 1988,Wake Forest,smithis01
4201,J.R. Smith,2005,2020,G-F,6-6,225.0,September 9 1985,,smithjr01
4202,Jabari Smith,2001,2005,C,6-11,250.0,February 12 1977,LSU,smithja01
4203,Jabari Smith Jr.,2023,2023,F,6-10,220.0,May 13 2003,Auburn,smithja05
4204,Jalen Smith,2021,2023,F,6-10,215.0,March 16 2000,Maryland,smithja04
4205,Jason Smith,2008,2019,F-C,7-0,240.0,March 2 1986,Colorado State,smithja02
4206,Jerry Smith,2012,2012,G,6-2,190.0,September 26 1987,Louisville,smithje01
4207,Jim Smith,1982,1983,F,6-9,225.0,April 12 1958,Ohio State,smithji01
4208,Joe Smith,1996,2011,F,6-10,225.0,July 26 1975,Maryland,smithjo02
4209,John Smith,1969,1970,C,7-0,235.0,May 24 1944,University of Southern Colorado,smithjo01
4210,Josh Smith,2005,2018,F,6-9,225.0,December 5 1985,,smithjo03
4211,Keith Smith,1987,1987,G,6-3,180.0,March 9 1964,Loyola Marymount,smithke03
4212,Ken Smith,1976,1976,F,6-7,185.0,July 12 1953,Lon Morris College Tulsa,smithke02
4213,Kenny Smith,1988,1997,G,6-3,170.0,March 8 1965,UNC,smithke01
4214,LaBradford Smith,1992,1994,G,6-3,200.0,April 3 1969,Louisville,smithla02
4215,Larry Smith,1981,1993,F-C,6-8,215.0,January 18 1958,Alcorn State,smithla01
4216,Leon Smith,2002,2004,C,6-10,235.0,November 2 1980,,smithle01
4217,Michael Smith,1990,1995,F,6-10,225.0,May 19 1965,BYU,smithmi01
4218,Michael Smith,1995,2001,F,6-8,230.0,March 28 1972,Providence,smithmi02
4219,Mike Smith,2001,2001,F,6-8,195.0,April 15 1976,Louisiana-Monroe,smithmi03
4220,Nolan Smith,2012,2013,G,6-2,185.0,July 25 1988,Duke,smithno01
4221,Otis Smith,1987,1992,G-F,6-5,210.0,January 30 1964,Jacksonville University,smithot01
4222,Pete Smith,1973,1973,F,6-6,205.0,,Valdosta State University,smithpe01
4223,Phil Smith,1975,1983,G,6-4,185.0,April 22 1952,San Francisco,smithph01
4224,Randy Smith,1972,1983,G-F,6-3,180.0,December 12 1948,Buffalo State,smithra01
4225,Reggie Smith,1993,1994,C,6-10,240.0,August 21 1970,TCU,smithre01
4226,Robert Smith,1978,1985,G,5-11,165.0,March 10 1955,UNLV,smithro01
4227,Russ Smith,2015,2016,G,6-0,165.0,April 19 1991,Louisville,smithru01
4228,Sam Smith,1968,1971,F,6-7,230.0,January 27 1944,Louisville Kentucky Wesleyan College,smithsa01
4229,Sam Smith,1979,1980,G,6-4,200.0,January 8 1955,UNLV,smithsa02
4230,Steve Smith,1992,2005,G,6-7,200.0,March 31 1969,Michigan State,smithst01
4231,Steven Smith,2007,2007,F,6-8,235.0,April 12 1983,La Salle,smithst03
4232,Stevin Smith,1997,1997,G,6-2,208.0,January 24 1972,Arizona State,smithst02
4233,Theron Smith,2004,2005,F,6-8,225.0,October 3 1980,Ball State University,smithth01
4234,Tony Smith,1991,2001,G,6-3,185.0,June 14 1968,Marquette,smithto02
4235,William Smith,1972,1973,C,7-0,220.0,February 14 1949,Syracuse,smithwi01
4236,Willie Smith,1977,1980,G,6-2,170.0,October 26 1953,Missouri,smithwi02
4237,Zhaire Smith,2019,2020,G,6-3,205.0,June 4 1999,Texas Tech,smithzh01
4238,Rik Smits,1989,2000,C,7-4,250.0,August 23 1966,Marist College,smitsri01
4239,Mike Smrek,1986,1992,C,7-0,250.0,August 31 1962,Canisius,smrekmi01
4240,Joe Smyth,1954,1954,F,6-3,215.0,May 22 1929,Niagara University,smythjo01
4241,Xavier Sneed,2022,2022,F,6-5,215.0,December 21 1997,Kansas State,sneedxa01
4242,Tony Snell,2014,2022,G-F,6-6,213.0,November 10 1991,New Mexico,snellto01
4243,Eric Snow,1996,2008,G,6-3,190.0,April 24 1973,Michigan State,snower01
4244,Dick Snyder,1967,1979,G-F,6-5,207.0,February 1 1944,Davidson,snydedi01
4245,Kirk Snyder,2005,2008,G,6-6,225.0,June 5 1983,Nevada,snydeki01
4246,Chips Sobek,1950,1950,G-F,6-0,180.0,February 10 1920,Notre Dame,sobekch01
4247,Ricky Sobers,1976,1986,G,6-3,198.0,January 15 1953,UNLV,soberri01
